transformer_id,date,h2,ch4,c2h4,c2h6,c2h2,co,co2,fault_state
1,2025-03-01,0.561,24.793,10.9,8.114,0.0,213.75,1569.275,Normal
1,2025-03-02,0.815,24.472,10.573,7.661,0.0,111.736,837.683,Normal
1,2025-03-03,0.678,28.018,10.634,10.197,0.0,247.082,1405.606,Normal
1,2025-03-04,0.653,25.044,9.105,8.843,0.0,63.823,1014.853,Normal
1,2025-03-05,0.618,31.609,11.151,8.362,0.0,315.548,1023.229,Normal
1,2025-03-06,0.678,28.226,9.618,7.877,0.0,245.791,1111.214,Normal
1,2025-03-07,0.82,32.206,15.532,10.095,0.004,284.568,813.295,Normal
1,2025-03-08,1.003,27.745,10.844,9.554,0.0,101.952,1412.103,Normal
1,2025-03-09,0.958,30.965,12.424,10.887,0.0,231.049,1465.842,Normal
1,2025-03-10,1.389,33.853,12.679,11.98,0.063,124.719,1043.324,Normal
1,2025-03-11,0.789,26.845,10.636,9.264,0.0,137.666,754.888,Normal
1,2025-03-12,0.408,21.97,8.334,7.743,0.0,130.34,1077.044,Normal
1,2025-03-13,0.766,32.924,13.908,10.342,0.0,145.038,1353.76,Normal
1,2025-03-14,0.91,26.892,10.793,7.68,0.0,217.102,1096.16,Normal
1,2025-03-15,1.183,31.117,12.562,10.977,0.0,146.687,1270.425,Normal
1,2025-03-16,0.89,34.379,13.327,11.471,0.0,216.906,973.759,Normal
1,2025-03-17,1.003,37.141,14.127,8.83,0.0,236.667,1468.631,Normal
1,2025-03-18,0.789,30.506,12.641,11.787,0.0,257.76,1283.142,Normal
1,2025-03-19,0.981,29.663,11.184,11.498,0.0,196.483,1236.615,Normal
1,2025-03-20,0.621,27.124,12.526,9.472,0.0,144.373,1955.901,Normal
1,2025-03-21,0.765,24.055,11.342,9.485,0.0,145.262,1475.217,Normal
1,2025-03-22,0.667,31.554,12.713,10.012,0.0,155.583,1545.324,Normal
1,2025-03-23,0.622,22.459,9.87,8.898,0.0,188.769,1055.829,Normal
1,2025-03-24,0.991,31.985,12.004,9.947,0.094,84.659,1424.268,Normal
1,2025-03-25,0.419,24.104,9.741,6.716,0.0,161.088,661.414,Normal
1,2025-03-26,1.058,36.333,15.851,12.183,0.024,259.883,2157.075,Normal
